,Year,Age Group,Value
268,2006,30-34,6668.076923076923
269,2006,35-39,4134.615384615385
270,2006,<15,252.69230769230768
271,2006,>40,1474.6153846153845
272,2007,15-17,2763.076923076923
273,2007,18-19,4937.307692307692
274,2007,20-24,15157.115384615385
275,2007,25-29,11197.307692307691
276,2007,30-34,6538.461538461538
277,2007,35-39,4092.6923076923076
278,2007,<15,251.53846153846155
279,2007,>40,1456.923076923077
280,2008,15-17,2645.9615384615386
281,2008,18-19,4927.5
282,2008,20-24,15227.5
283,2008,25-29,11301.346153846154
284,2008,30-34,6647.5
285,2008,35-39,4076.5384615384614
286,2008,<15,241.73076923076923
287,2008,>40,1429.0384615384614
288,2009,15-17,2378.269230769231
289,2009,18-19,4567.5
290,2009,20-24,14493.653846153846
291,2009,25-29,10810.0
292,2009,30-34,6518.076923076923
293,2009,35-39,3903.076923076923
294,2009,<15,218.84615384615384
295,2009,>40,1446.7307692307693
296,2010,15-17,2094.0384615384614
297,2010,18-19,4136.346153846154
298,2010,20-24,13937.307692307691
299,2010,25-29,10352.5
300,2010,30-34,6459.2307692307695
301,2010,35-39,3747.3076923076924
302,2010,<15,199.03846153846155
303,2010,>40,1428.4615384615386
304,2011,15-17,1813.6538461538462
305,2011,18-19,3717.1153846153848
306,2011,20-24,13379.807692307691
307,2011,25-29,10063.653846153846
308,2011,30-34,6398.2692307692305
309,2011,35-39,3605.1923076923076
310,2011,<15,174.80769230769232
311,2011,>40,1451.923076923077
312,2012,15-17,1530.7692307692307
313,2012,18-19,3242.1153846153848
314,2012,20-24,12708.076923076924
315,2012,25-29,9812.307692307691
316,2012,30-34,6356.153846153846
317,2012,35-39,3516.730769230769
318,2012,<15,155.57692307692307
319,2012,>40,1432.1153846153845
320,2013,15-17,1304.6153846153845
321,2013,18-19,2915.3846153846152
322,2013,20-24,12045.192307692309
323,2013,25-29,9531.153846153846
324,2013,30-34,6204.615384615385
325,2013,35-39,3389.6153846153848
326,2013,<15,125.1923076923077
327,2013,>40,1317.8846153846155
328,2014,15-17,1152.5
329,2014,18-19,2549.8076923076924
330,2014,20-24,11422.115384615385
331,2014,25-29,9525.961538461539
332,2014,30-34,6101.346153846154
333,2014,35-39,3451.923076923077
334,2014,<15,103.84615384615384
335,2014,>40,1280.3846153846155
336,2015,15-17,1029.6153846153845
337,2015,18-19,2345.769230769231
338,2015,20-24,10743.461538461539
339,2015,25-29,9560.0
340,2015,30-34,6110.7692307692305
341,2015,35-39,3465.1923076923076
342,2015,<15,88.26923076923077
343,2015,>40,1225.3846153846155
344,2016,15-17,960.0
345,2016,18-19,2184.0384615384614
346,2016,20-24,10059.23076923077
347,2016,25-29,9589.807692307691
348,2016,30-34,6051.153846153846
349,2016,35-39,3461.346153846154
350,2016,<15,81.92307692307692
351,2016,>40,1192.8846153846155
352,2017,15-17,784.0384615384615
353,2017,18-19,1882.6923076923076
354,2017,20-24,9669.807692307691
355,2017,25-29,9618.461538461539
356,2017,30-34,6088.076923076923
357,2017,35-39,3506.153846153846
358,2017,<15,74.03846153846153
359,2017,>40,1184.6153846153845
